Player Id,Player name,IPL2020,IPL2021,IPL2022
265,MS Dhoni,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
7836,Deepak Chahar,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
10420,Sam Curran,Chennai Super Kings,Chennai Super Kings,
11813,Ruturaj Gaikwad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
6667,Imran Tahir,Chennai Super Kings,Chennai Super Kings,
1851,Kedar Jadhav,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
9783,Monu Kumar,Chennai Super Kings,NA,
6311,Ambati Rayudu,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
10100,Mitchell Santner,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
8683,Shardul Thakur,Chennai Super Kings,Chennai Super Kings,Delhi Capitals
158,Shane Watson,Chennai Super Kings,NA,
75,Harbhajan Singh,Chennai Super Kings,Kolkata Knight Riders,
413,Suresh Raina,Chennai Super Kings,Chennai Super Kings,
242,Dwayne Bravo,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1597,Murali Vijay,Chennai Super Kings,NA,
1844,Karn Sharma,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore
11595,Ravisrinivasan Sai Kishore,Chennai Super Kings,Chennai Super Kings,
9603,Lungi Ngidi,Chennai Super Kings,Chennai Super Kings,Delhi Capitals
11675,Narayan Jagadeesan,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
587,Ravindra Jadeja,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
6258,Josh Hazlewood,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore
7825,Faf du Plessis,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore
466,Piyush Chawla,Chennai Super Kings,Mumbai Indians,
13483,KM Asif,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
9428,Shreyas Iyer,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders
9781,Avesh Khan,Delhi Capitals,Delhi Capitals,Lucknow Super Giants
11307,Tushar Deshpande,Delhi Capitals,NA,Chennai Super Kings
10484,Praveen Dubey,Delhi Capitals,NA,Delhi Capitals
13252,Lalit Yadav,Delhi Capitals,Delhi Capitals,Delhi Capitals
11427,Anrich Nortje,Delhi Capitals,Delhi Capitals,Delhi Capitals
8175,Harshal Patel,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
11214,Keemo Paul,Delhi Capitals,NA,
1447,Ajinkya Rahane,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders
8181,Mohit Sharma,Delhi Capitals,Delhi Capitals,
8989,Marcus Stoinis,Delhi Capitals,Delhi Capitals,Lucknow Super Giants
6534,Jason Roy,Delhi Capitals,Sunrisers Hyderabad,
6670,Chris Woakes,Delhi Capitals,Delhi Capitals,
702,Ishant Sharma,Delhi Capitals,Delhi Capitals,
1454,Amit Mishra,Delhi Capitals,Delhi Capitals,
12094,Prithvi Shaw,Delhi Capitals,Delhi Capitals,Delhi Capitals
13162,Daniel Sams,Delhi Capitals,NA,Mumbai Indians
9585,Kagiso Rabada,Delhi Capitals,Delhi Capitals,Punjab Kings
8808,Axar Patel,Delhi Capitals,Delhi Capitals,Delhi Capitals
10744,Rishabh Pant,Delhi Capitals,Delhi Capitals,Delhi Capitals
11158,Sandeep Lamichhane,Delhi Capitals,NA,
9789,Shimron Hetmyer,Delhi Capitals,Delhi Capitals,Rajasthan Royals
1446,Shikhar Dhawan,Delhi Capitals,Delhi Capitals,Punjab Kings
9200,Alex Carey,Delhi Capitals,NA,
1593,Ravichandran Ashwin,Delhi Capitals,Delhi Capitals,Rajasthan Royals
8733,KL Rahul,Punjab Kings,Punjab Kings,Lucknow Super Giants
13217,Arshdeep Singh,Punjab Kings,Punjab Kings,Mumbai Indians
9395,Sheldon Cottrell,Punjab Kings,NA,
8925,Krishnappa Gowtham,Punjab Kings,Chennai Super Kings,Lucknow Super Giants
9427,Deepak Hooda,Punjab Kings,Punjab Kings,Lucknow Super Giants
9429,Sarfaraz khan,Punjab Kings,Punjab Kings,Delhi Capitals
7662,Glenn Maxwell,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
12071,Mujeeb Ur Rahman,Punjab Kings,Sunrisers Hyderabad,
12779,Darshan Nalkande,Punjab Kings,Punjab Kings,Gujarat Titans
9406,Nicholas Pooran,Punjab Kings,Punjab Kings,Sunrisers Hyderabad
14254,Prabhsimran Singh,Punjab Kings,NA,Punjab Kings
10357,Jagadeesha Suchith,Punjab Kings,Punjab Kings,Sunrisers Hyderabad
9493,Hardus Viljoen,Punjab Kings,NA,
14659,Ravi Bishnoi,Punjab Kings,Punjab Kings,Lucknow Super Giants
11404,Ishan Porel,Punjab Kings,Punjab Kings,Punjab Kings
8983,James Neesham,Punjab Kings,Mumbai Indians,Rajasthan Royals
8257,Karun Nair,Punjab Kings,Kolkata Knight Riders,Rajasthan Royals
7909,Mohammed Shami,Punjab Kings,Punjab Kings,Gujarat Titans
6319,Mandeep Singh,Punjab Kings,Punjab Kings,Delhi Capitals
6532,Chris Jordan,Punjab Kings,Punjab Kings,Chennai Super Kings
14452,Harpreet Brar,Punjab Kings,Punjab Kings,Punjab Kings
247,Chris Gayle,Punjab Kings,Punjab Kings,
8796,Murugan Ashwin,Punjab Kings,Punjab Kings,Mumbai Indians
2195,Mayank Agarwal,Punjab Kings,Punjab Kings,Mumbai Indians
624,Eoin Morgan,Kolkata Knight Riders,Kolkata Knight Riders,
8095,Pat Cummins,Kolkata Knight Riders,NA,Kolkata Knight Riders
10162,Chris Green,Kolkata Knight Riders,NA,
8292,Kuldeep Yadav,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals
12092,Kamlesh Nagarkoti,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals
2276,Sunil Narine,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
9204,Nitish Rana,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
8944,Sandeep Warrier,Kolkata Knight Riders,Kolkata Knight Riders,
11808,Shubman Gill,Kolkata Knight Riders,Kolkata Knight Riders,Gujarat Titans
10896,Rinku Singh,Kolkata Knight Riders,NA,Kolkata Knight Riders
12926,Varun Chakravarthy,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
6496,Harry Gurney,Kolkata Knight Riders,NA,
9237,Pravin Tambe,Kolkata Knight Riders,NA,
11450,Ali Khan,Kolkata Knight Riders,NA,
9012,Rahul Tripathi,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad
12345,Shivam Mavi,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
7736,Andre Russell,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
10551,Prasidh Krishna,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals
9295,Nikhil Naik,Kolkata Knight Riders,NA,
9218,"
Siddhesh Lad",Kolkata Knight Riders,NA,
145,Dinesh Karthik,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore
10692,Lockie Ferguson,Kolkata Knight Riders,Kolkata Knight Riders,Gujarat Titans
12254,Tom Banton,Kolkata Knight Riders,NA,
576,Rohit Sharma,Mumbai Indians,Mumbai Indians,Mumbai Indians
8117,"
Trent Boult",Mumbai Indians,Mumbai Indians,Rajasthan Royals
12087,Rahul Chahar,Mumbai Indians,Mumbai Indians,Punjab Kings
8520,Quinton de Kock,Mumbai Indians,Mumbai Indians,Lucknow Super Giants
10276,Ishan Kishan,Mumbai Indians,Mumbai Indians,Mumbai Indians
7752,Chris Lynn,Mumbai Indians,Mumbai Indians,
3651,Mohsin Khan,Mumbai Indians,Mumbai Indians,Lucknow Super Giants
9647,Hardik Pandya,Mumbai Indians,Mumbai Indians,Gujarat Titans
657,Kieron Pollard,Mumbai Indians,Mumbai Indians,Mumbai Indians
12344,Anukul Roy,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders
6315,Aditya Tare,Mumbai Indians,Mumbai Indians,
8182,Jayant Yadav,Mumbai Indians,Mumbai Indians,Gujarat Titans
7915,"
Suryakumar Yadav",Mumbai Indians,Mumbai Indians,Mumbai Indians
1601,Saurabh Tiwary,Mumbai Indians,Mumbai Indians,
13748,Sherfane Rutherford,Mumbai Indians,NA,Royal Challengers Bangalore
2283,James Pattinson,Mumbai Indians,NA,
11311,"
Krunal Pandya",Mumbai Indians,Mumbai Indians,Lucknow Super Giants
7624,Mitchell McClenaghan,Mumbai Indians,NA,
1451,Dhawal Kulkarni,Mumbai Indians,Mumbai Indians,
,Nathan Coulter-Nile,Mumbai Indians,Mumbai Indians,
9311,Jasprit Bumrah,Mumbai Indians,Mumbai Indians,Mumbai Indians
10947,Anmolpreet Singh,Mumbai Indians,Mumbai Indians,Mumbai Indians
2250,Steven Smith,Rajasthan Royals,Delhi Capitals,
14696,Akash Singh,Rajasthan Royals,Rajasthan Royals,
11540,Jofra Archer,Rajasthan Royals,NA,Mumbai Indians
9522,Tom Curran,Rajasthan Royals,Delhi Capitals,
13940,Yashasvi Jaiswal,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
13136,Kartik Tyagi,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad
12627,Mayank Markande,Rajasthan Royals,Rajasthan Royals,Mumbai Indians
12305,Riyan Parag,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
8271,Sanju Samson,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
6557,Ben Stokes,Rajasthan Royals,Rajasthan Royals,
11442,Oshane Thomas,Rajasthan Royals,NA,
6327,"
Jaydev Unadkat",Rajasthan Royals,Rajasthan Royals,Mumbai Indians
8358,Manan Vohra,Rajasthan Royals,Rajasthan Royals,Lucknow Super Giants
527,Robin Uthappa,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
9617,Andrew Tye,Rajasthan Royals,Rajasthan Royals,Lucknow Super Giants
9693,Rahul Tewatia,Rajasthan Royals,Rajasthan Royals,Gujarat Titans
10919,Shashank Singh,Rajasthan Royals,NA,Sunrisers Hyderabad
8924,Ankit Rajpoot,Rajasthan Royals,NA,Lucknow Super Giants
6349,David Miller,Rajasthan Royals,Rajasthan Royals,Gujarat Titans
10954,Mahipal Lomror,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore
9746,Shreyas Gopal,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad
2258,"
Jos Buttler",Rajasthan Royals,NA,Rajasthan Royals
13135,Anuj Rawat,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore
6293,Varun Aaron,Rajasthan Royals,NA,Gujarat Titans
1413,Virat Kohli,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
7910,Yuzvendra Chahal,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals
1643,Aaron Finch,Royal Challengers Bangalore,NA,Kolkata Knight Riders
10808,Mohammed Siraj,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
8281,Pawan Negi,Royal Challengers Bangalore,Kolkata Knight Riders,
74,Parthiv Patel,Royal Challengers Bangalore,NA,
9715,Navdeep Saini,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals
508,Dale Steyn,Royal Challengers Bangalore,NA,
10945,Washington Sundar,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad
8642,Adam Zampa,Royal Challengers Bangalore,NA,
1858,Umesh Yadav,Royal Challengers Bangalore,Delhi Capitals,Kolkata Knight Riders
1920,Isuru Udana,Royal Challengers Bangalore,NA,
14606,Shahbaz Ahmed,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
13172,Josh Philippe,Royal Challengers Bangalore,NA,
13088,Devdutt Padikkal,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals
8333,Chris Morris,Royal Challengers Bangalore,Rajasthan Royals,
8298,Gurkeerat Singh Mann,Royal Challengers Bangalore,Kolkata Knight Riders,Gujarat Titans
11195,Shivam Dube,Royal Challengers Bangalore,Rajasthan Royals,Chennai Super Kings
370,AB de Villiers,Royal Challengers Bangalore,Royal Challengers Bangalore,
6692,Moeen Ali,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
1739,David Warner,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals
12086,Abhishek Sharma,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
9785,Fabian Allen,Sunrisers Hyderabad,Punjab Kings,Mumbai Indians
10267,Basil Thampi,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians
1807,Shreevats Goswami,Sunrisers Hyderabad,Sunrisers Hyderabad,
1828,Siddarth Kaul,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore
7906,Shahbaz Nadeem,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants
1836,Manish Pandey,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants
10738,Rashid Khan,Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Titans
11631,Sanjay Yadav,Sunrisers Hyderabad,NA,Mumbai Indians
9572,Billy Stanlake,Sunrisers Hyderabad,NA,
6326,Kane Williamson,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
10213,Virat Singh,Sunrisers Hyderabad,Sunrisers Hyderabad,
8204,Vijay Shankar,Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Titans
8356,Sandeep Sharma,Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings
1465,Wriddhiman Saha,Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Titans
13113,Prithvi Raj,Sunrisers Hyderabad,NA,
10225,T Natarajan,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
3007,Mohammad Nabi,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders
8313,Jason Holder,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders
12089,Priyam Garg,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
6507,Jonny Bairstow,Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings
10952,Khaleel Ahmed,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals
14628,Abdul Samad,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1448,Cheteshwar Pujara,NA,Chennai Super Kings,
,M.Harisankar Reddy,NA,Chennai Super Kings,
19253,K.Bhagath Varma,NA,Chennai Super Kings,Chennai Super Kings
,C Hari Nishaanth,NA,Chennai Super Kings,Chennai Super Kings
,Riapl Patel,NA,Delhi Capitals,
9244,Lukman Hussain Meriwala,NA,Delhi Capitals,
7990,Sam Billings,NA,Delhi Capitals,Kolkata Knight Riders
10484,Praveen Dubey,NA,Delhi Capitals,
11893,Vishnu Vinod,NA,Delhi Capitals,Sunrisers Hyderabad
9443,Tim Seifert,NA,Kolkata Knight Riders,Delhi Capitals
544,Shakib al Hasan,NA,Kolkata Knight Riders,
8846,Sheldon Jackson,NA,Kolkata Knight Riders,Kolkata Knight Riders
15861,Vaibhav Arora,NA,Kolkata Knight Riders,Punjab Kings
8118,Ben Cutting,NA,Kolkata Knight Riders,
10917,Venkatesh Iyer,NA,Kolkata Knight Riders,Kolkata Knight Riders
7625,Adam Milne,NA,Mumbai Indians,
15749,Yudhvir Charak,NA,Mumbai Indians,
14565,Marco Jansen,NA,Mumbai Indians,Sunrisers Hyderabad
13747,Arjun Tendulkar,NA,Mumbai Indians,Mumbai Indians
6660,Dawid Malan,NA,Punjab Kings,
10280,Jhye Richardson,NA,Punjab Kings,
10226,Shahrukh Khan,NA,Punjab Kings,Punjab Kings
12226,Riley Meredith,NA,Punjab Kings,Mumbai Indians
1437,Moises Henriques,NA,Punjab Kings,
8107,Jalaj Saxena,NA,Punjab Kings,
12630,Utkarsh Singh,NA,Punjab Kings,
10260,Saurabh Kumar,NA,Punjab Kings,
15480,Nathan Ellis,NA,Punjab Kings,Punjab Kings
9863,Mustafizur Rahim,NA,Rajasthan Royals,
13494,Chetan Sakariya,NA,Rajasthan Royals,Delhi Capitals
10045,Liam Livingstone,NA,Rajasthan Royals,Punjab Kings
13537,Kuldip Yadav,NA,Rajasthan Royals,Rajasthan Royals
10693,Glenn Phillips,NA,Rajasthan Royals,Sunrisers Hyderabad
8709,Sachin Baby,NA,Royal Challengers Bangalore,
10809,Mohammed Azharuddeen,NA,Royal Challengers Bangalore,
10636,Rajat Patidar,NA,Royal Challengers Bangalore,Royal Challengers Bangalore
9441,Kyle Jamieson,NA,Royal Challengers Bangalore,
,Dan Christian,NA,Royal Challengers Bangalore,
12669,Suyesh Prabhudessai,NA,Royal Challengers Bangalore,
, KS Bharat,NA,Royal Challengers Bangalore,Delhi Capitals
13169,Tim David,NA,Royal Challengers Bangalore,Mumbai Indians
8393,Dushmantha Chameera,NA,Royal Challengers Bangalore,Lucknow Super Giants
10926,Wanindu Hasaranga,NA,Royal Challengers Bangalore,Royal Challengers Bangalore
1726,Bhuvneshwar Kumar,NA,Sunrisers Hyderabad,Sunrisers Hyderabad
13866,Sai Sudharshan,NA,NA,Gujarat Titans
,Abhinav Sadarangani,NA,NA,Gujarat Titans
13213,Rahmanullah Gurbaz,NA,NA,Gujarat Titans
1649,Matthew Wade,NA,NA,Gujarat Titans
14172,Yash Dayal,NA,NA,Gujarat Titans
1472,Pradeep Sangwan,NA,NA,Gujarat Titans
11220,Alzarri Joseph,NA,NA,Gujarat Titans
11595,R Sai Kishore,NA,NA,Gujarat Titans
15452,Noor Ahmad,NA,NA,Gujarat Titans
13750,Dominic Drakes,NA,NA,Gujarat Titans
9838,Devon Conway,NA,NA,Chennai Super Kings
18504,Maheesh Theekshana,NA,NA,Chennai Super Kings
,Simranjeet Singh,NA,NA,Chennai Super Kings
16458,Matheesha Pathirana,NA,NA,Chennai Super Kings
13184,Mukesh Choudhary,NA,NA,Chennai Super Kings
12805,Prashant Solanki,NA,NA,Chennai Super Kings
8651,Dwaine Pretorius,NA,NA,Chennai Super Kings
11445,Rovman Powell,NA,NA,Delhi Capitals
9863,Mustafizur Rahman,NA,NA,Delhi Capitals
6250,"Mitchell Marsh	",NA,NA,Delhi Capitals
,Ripal Patel,NA,NA,Delhi Capitals
12813,Abhijeet Tomar,NA,NA,Kolkata Knight Riders
9624,Baba Indrajith,,,Kolkata Knight Riders
,Rasikh Dar,,,Kolkata Knight Riders
1057,Tim Southee,,,Kolkata Knight Riders
9500,Chamika Karunaratne,,,Kolkata Knight Riders
8579,Evin Lewis,,,Lucknow Super Giants
8440,Kyle Mayers,,,Lucknow Super Giants
18738,Karan Sharma,,,Lucknow Super Giants
13907,Ayush Badoni,,,Lucknow Super Giants
14504,Tilak Varma,,,Mumbai Indians
12337,Ramandeep Singh,,,Mumbai Indians
20538,Dewald Brevis,,,Mumbai Indians
14190,Kumar Kartikeya Singh,,,Mumbai Indians
7860,Tymal Mills,,,Mumbai Indians
14595,Hrithik Shokeen,,,Mumbai Indians
11054,Prerak Mankad,,,Punjab Kings
7869,Bhanuka Rajapaksa,,,Punjab Kings
10214,Jitesh Sharma,,,Punjab Kings
11215,Odean Smith,,,Punjab Kings
22601,"Raj Bawa	",,,Punjab Kings
8616,Rishi Dhawan,,,Punjab Kings
9554,Rassie van der Dussen,,,Rajasthan Royals
14336,Kuldeep Sen,,,Rajasthan Royals
11221,Obed McCoy,,,Rajasthan Royals
12639,Tejas Baroka,,,Rajasthan Royals
10353,KC Cariappa,,,Rajasthan Royals
10713,Daryl Mitchell,,,Rajasthan Royals
12669,Suyash Prabhudessai,,,Royal Challengers Bangalore
11172,Finn Allen ,,,Royal Challengers Bangalore
7773,Jason Behrendorff,,,Royal Challengers Bangalore
14726,Akash Deep,,,Royal Challengers Bangalore
6592,David Willey,,,Royal Challengers Bangalore
9582,Aiden Markram,,,Sunrisers Hyderabad
19027,Umran Malik,,,Sunrisers Hyderabad
13646,Romario Shepherd,,,Sunrisers Hyderabad
8136,Sean Abbott,,,Sunrisers Hyderabad
